"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","LP_Legal basis","ELI","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Directory code","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Legal basis","Transposed legal act(s)","Rectified by","Type of procedure","Collection of the document","Date of document","Date of publication","Author","Date of effect","Date of end of validity","Date of transposition","Applicant/Appellant","Defendant/Other parties to the proceedings","In force indicator","Publication Reference",
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Agreement on the privileges and immunities of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project","","22006A1216(05)","","","","http://data.europa.eu/eli/agree_internation/2006/943(2)/oj","International agreement","nuclear research, nuclear fusion, legal status, international agreement, competence of the institution, international organisation, operation of the Institutions","","External relations, Nuclear common market","External relations, Energy, Science, information, education and culture, Multilateral relations, Nuclear energy, Science, Other spheres of multilateral cooperation, Nuclear research, Research sectors","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A192, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A124","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2006-11-21","2006-12-16, 2007-01-01, 2014-09-09","China, European Atomic Energy Community, Russia, South Korea, Japan, India","2007-10-24, 2006-11-21","No end date","","","","true","OJ L 358, 16/12/2006, p. 82–86
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Agreement between the Government of Japan and the European Atomic Energy Community for co-operation in the peaceful uses of nuclear energy","","22007A0206(01)","","","","http://data.europa.eu/eli/agree_internation/2007/58/oj","International agreement","nuclear technology, nuclear safety, EAEC, nuclear research, Japan, peaceful use of energy, nuclear energy, cooperation agreement (EU)","","External relations, Nuclear common market","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, Asian countries","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2006-08-24","2007-02-06, 2007-08-24, 2007-01-01, 2014-10-21","Japan, European Atomic Energy Community","2006-12-20","No end date","","","","true","OJ L 32, 06/02/2007, p. 65–75
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 219M , 24/08/2007, p. 100–110
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Agreement on the Establishment of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project","","22006A1216(03)","","","","http://data.europa.eu/eli/agree_internation/2006/943(1)/oj","International agreement","nuclear research, international organisation, competence of the institution, operation of the Institutions, international agreement, nuclear fusion","","External relations, Nuclear common market","External relations, Energy, Science, information, education and culture, Multilateral relations, Nuclear energy, Science, Other spheres of multilateral cooperation, Nuclear research, Research sectors","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A124, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A192, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2006-11-21","2006-12-16, 2007-01-01, 2014-08-26","South Korea, India, Japan, China, Russia, United States, European Atomic Energy Community","2007-10-24, 2006-11-21","No end date","","","","true","OJ L 358, 16/12/2006, p. 62–80
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Agreement between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine for Co-operation in the Peaceful Uses of Nuclear Energy","","22006A0922(01)","","","","http://data.europa.eu/eli/agree_internation/2006/635/oj","International agreement","cooperation agreement (EU), nuclear energy, Ukraine, peaceful use of energy, nuclear research, nuclear safety, nuclear technology, EAEC","","Nuclear common market, External relations","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, European countries, Nuclear research, Other European countries","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2005-04-28","2006-09-22, 2007-01-01, 2014-10-21","Ukraine, European Atomic Energy Community","2006-09-01","No end date","","","","true","OJ L 261, 22/09/2006, p. 27–31
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"The Energy Community Treaty","","22006A0720(01)","","","","http://data.europa.eu/eli/agree_internation/2006/500/oj","International agreement","multilateral agreement, natural gas, Central and Eastern Europe, electrical energy, energy policy, Energy Community, agreement (EU), energy cooperation","","Energy, External relations","Energy, External relations, General principles and programmes, Multilateral relations, Other spheres of multilateral cooperation","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E095, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E055, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E083, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E175, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E089, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E300, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E133, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E047","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2005-10-25","2006-07-20, 2007-01-01, 2014-11-11","Romania, European Community, North Macedonia, Bosnia and Herzegovina, Serbia, Albania, Montenegro, Croatia, Bulgaria","2006-07-01","2026-06-30","","","","true","OJ L 198, 20/07/2006, p. 18–37
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Agreement for cooperation between the Government of the Republic of Kazakhstan and the European Atomic Energy Community in the field of controlled nuclear fusion","","22005A0607(01)","","","","http://data.europa.eu/eli/agree_internation/2005/419/oj","International agreement","nuclear fusion, cooperation agreement (EU), nuclear energy, scientific cooperation, Kazakhstan, EAEC","","Nuclear common market, Cooperation, External relations","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, Asian countries, Nuclear research","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2002-11-29","2005-06-07, 2007-01-01, 2014-10-21","European Atomic Energy Community, Kazakhstan","2004-04-13","Not known","","","","true","OJ L 143, 07/06/2005, p. 28–33
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Agreement for cooperation in the peaceful uses of nuclear energy between the European Atomic Energy Community (Euratom) and the Government of the Republic of Uzbekistan","","22003A1021(01)","","","","http://data.europa.eu/eli/agree_internation/2003/744/oj","International agreement","cooperation agreement (EU), Uzbekistan, nuclear energy, peaceful use of energy","","Cooperation, External relations, Nuclear common market","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, European countries, Other European countries","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2003-10-06","2003-10-21, 2004-05-01, 2007-01-01","Uzbekistan, European Atomic Energy Community","2004-08-01","Not known","","","","true","OJ L 269, 21/10/2003, p. 9–17
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO)
		",
"Framework agreement on a Multilateral Nuclear Environmental Programme in the Russian Federation","","22003A0624(01)","","","","http://data.europa.eu/eli/agree_internation/2003/462/oj","International agreement","waste management, radioactive waste, Russia, nuclear policy, nuclear fuel, environmental protection, cooperation policy, framework agreement, nuclear safety, multilateral agreement","","Nuclear common market, Environment, External relations","External relations, Environment, consumers and health protection, Energy, Bilateral agreements with non-member countries, Environment, Nuclear energy, European countries, International cooperation, Other measures relating to nuclear energy, Other European countries","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E181A, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E300, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2003-05-21","2003-06-24, 2004-05-01, 2007-01-01, 2014-10-14","European Atomic Energy Community, United Kingdom, United States, Belgium, Sweden, France, Germany, Norway, Netherlands, Finland, Russia, European Community, Denmark","2007-07-26, 2003-05-21","No end date","","","","true","OJ L 155, 24/06/2003, p. 37–42
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Agreement for Cooperation between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine in the field of nuclear safety","","22002A1127(01)","","","","http://data.europa.eu/eli/agree_internation/2002/924(1)/oj","International agreement","nuclear safety, environmental protection, cooperation policy, nuclear research, Ukraine, public safety, cooperation agreement (EU)","","External relations, Cooperation, Nuclear common market","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, European countries, Safeguards, Countries in transition","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","1999-07-23","2002-11-27, 2014-10-14, 2004-05-01, 2007-01-01","Ukraine, European Atomic Energy Community","2002-11-13","Not known","","","","true","OJ L 322, 27/11/2002, p. 33–39
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Agreement for Cooperation between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine in the field of controlled nuclear fusion","","22002A1127(02)","","","","http://data.europa.eu/eli/agree_internation/2002/924(2)/oj","International agreement","EAEC, scientific cooperation, Ukraine, nuclear energy, cooperation agreement (EU), nuclear fusion","","External relations, Cooperation, Nuclear common market","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, European countries, Other European countries","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","1999-07-23","2002-11-27, 2004-05-01, 2014-10-14, 2007-01-01","European Atomic Energy Community, Ukraine","2002-11-13","Not known","","","","true","OJ L 322, 27/11/2002, p. 40–46
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Agreement for cooperation between the European Atomic Energy Community represented by the Commission of the European Communities and the Department of Energy of the United States of America in the field of fusion energy research and development","","22001A0601(01)","","","","http://data.europa.eu/eli/agree_internation/2001/411/oj","International agreement","EAEC, nuclear research, scientific cooperation, nuclear energy, United States, research and development, nuclear fusion, cooperation agreement (EU)","","External relations, Cooperation, Nuclear common market","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, North America, Nuclear research","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2001-05-14","2001-06-01, 2004-05-01, 2014-10-14, 2007-01-01","European Atomic Energy Community, United States","2001-05-14","Not known","","","","true","OJ L 148, 01/06/2001, p. 80–85
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Energy Charter Conference - Rules concerning the conduct of the conciliation of transit disputes","","21999A0116(01)","","","","http://data.europa.eu/eli/agree_internation/1999/37/oj","International agreement","transit, environmental policy, energy policy, international arbitration, European Energy Charter","","External relations, Energy","Energy, General principles and programmes, General","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0181, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:21994A1231(52)","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","1999-01-16","1999-01-16, 2004-05-01, 2007-01-01, 2012-10-20","Italy, Portugal, Greece, European Community, Sweden, Belgium, Denmark, France, Ireland, European Atomic Energy Community, United Kingdom, Germany, Finland, Luxembourg, Netherlands, Austria, Spain","1998-12-03","No end date","","","","true","OJ L 11, 16/01/1999, p. 39–44
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Agreement between Canada and the European Atomic Energy Community for cooperation in the area of nuclear research","","21998A1222(01)","","","","http://data.europa.eu/eli/agree_internation/1998/732/oj","International agreement","intellectual property, cooperation agreement (EU), Canada, nuclear research, industrial research","","Research and technological development, External relations, Nuclear common market","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, North America","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","1998-12-17","1998-12-22, 2007-01-01, 2004-05-01, 2014-10-14","European Atomic Energy Community, Canada","1998-12-17","No end date","","","","true","OJ L 346, 22/12/1998, p. 65–71
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Final Act of the International Conference and Decision by the Energy Charter Conference in respect of the amendment to the trade-related provisions of the Energy Charter Treaty - Joint Declarations - Annex I: Amendment to the Trade-Related Provisions of the Energy Charter Treaty - Annex II: Decisions in connection with the Adoption of the Amendment to the Trade-Related Provisions of the Energy Charter Treaty","","21998A0912(01)","","","","http://data.europa.eu/eli/agree_internation/1998/537/oj","International agreement","GATT, World Trade Organisation, energy policy, trade policy, European Energy Charter, international conference","","Commercial policy, Energy, External relations","Energy, General principles and programmes, General","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E228, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0181, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E113","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","1998-04-24","1998-09-12, 2004-05-01, 2007-01-01, 2012-10-20","Hungary, Armenia, Bosnia and Herzegovina, Kyrgyzstan, Australia, Greece, Türkiye, Italy, Azerbaijan, North Macedonia, Estonia, Denmark, European Community, Romania, Japan, Switzerland, Poland, Germany, Norway, Uzbekistan, Liechtenstein, Austria, Russia, Albania, Finland, Netherlands, Slovakia, Portugal, Lithuania, Cyprus, France, Moldova, Sweden, Belgium, Belarus, Kazakhstan, United Kingdom, Malta, Czechia, Ireland, Iceland, Spain, Slovenia, Latvia, Tajikistan, Bulgaria, Turkmenistan, Georgia, Luxembourg, Croatia, Ukraine","1001-01-01, 1998-07-23","No end date","","","","true","OJ L 252, 12/09/1998, p. 23–46
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Agreement for cooperation in the peaceful uses of nuclear energy between the European Atomic Energy Community (Euratom) and the Government of the Argentine Republic","","21997A1030(01)","","","","http://data.europa.eu/eli/agree_internation/1997/738/oj","International agreement","Argentina, EAEC, scientific cooperation, nuclear research, nuclear energy, peaceful use of energy, cooperation agreement (EU), research and development","","External relations, Energy","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, Central America and Latin America","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","1997-06-27","1997-10-30, 2012-09-14, 2007-01-01, 2004-05-01","Argentina, European Atomic Energy Community","1997-10-29","No end date","","","","true","OJ L 296, 30/10/1997, p. 32–40
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Agreement for cooperation in the peaceful uses of nuclear energy between the European Atomic Energy Community and the United States of America - Agreed Minute - Declaration on non-proliferation policy","","21996A0520(01)","","","","http://data.europa.eu/eli/agree_internation/1996/314/oj","International agreement","scientific cooperation, nuclear research, nuclear energy, peaceful use of energy, cooperation agreement (EU), United States","","External relations, Cooperation","Energy, External relations, Energy, Nuclear energy, Bilateral agreements with non-member countries, Nuclear energy, Other measures relating to nuclear energy, North America, Nuclear research","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","1995-11-07","1996-05-20, 2004-05-01, 2013-03-14, 2007-01-01","European Atomic Energy Community, United States","1996-04-12","2026-04-11","","","","true","OJ L 120, 20/05/1996, p. 1–11
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Implementing Agreement between the European Atomic Energy Community represented by the Commission of the European Communities and Atomic Energy of Canada Limited designated as implementing agent by the Government of Canada on the involvement of Canada in the European Atomic Energy Community contribution to the engineering design activities (EDA) for the International Thermonuclear Experimental Reactor (ITER)","","21995A0906(02)","","","","http://data.europa.eu/eli/agree_internation/1995/356/oj","International agreement","nuclear fusion, cooperation agreement (EU), scientific cooperation, Canada, nuclear research, nuclear reactor, technical cooperation","","Research and training, Nuclear common market, External relations","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, North America","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","1995-07-25","1995-09-06, 2004-05-01, 2014-10-14, 2007-01-01","Atomic Energy of Canada Limited, European Atomic Energy Community","1995-07-25","No end date","","","","true","OJ L 211, 06/09/1995, p. 40–42
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Final Act of the Conference on the European Energy Charter - Annex 1: The Energy Charter Treaty - Annex 2: Decisions with respect to the Energy Charter Treaty","","21994A1231(52)","","","","http://data.europa.eu/eli/agree_internation/1994/998/oj","International agreement","EAEC, European charter, energy policy, ECSC, environmental policy, accession to an agreement","","Energy, Provisions under Article 235 EEC, External relations, Taxation, Freedom of establishment, Commercial policy, Environment, Internal market - Principles","Energy, General principles and programmes, General","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E099, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E087, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E228, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E066, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E054, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E113, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E235, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E073C, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11951K095, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E130S, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E100A, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E057","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","1994-12-17","1994-12-31, 2004-05-01, 2012-09-14, 2007-01-01, 1995-01-01","Italy, Türkiye, Greece, Azerbaijan, North Macedonia, European Community, Germany, Liechtenstein, Netherlands, Portugal, Lithuania, France, Sweden, Moldova, Malta, European Atomic Energy Community, United Kingdom, Ireland, Luxembourg, Turkmenistan, Tajikistan, Mongolia, Australia, Kyrgyzstan, Armenia, Hungary, European Coal and Steel Community, Estonia, Denmark, Romania, Switzerland, Poland, Austria, Albania, Finland, Slovakia, Cyprus, Kazakhstan, Belgium, United States, Czechia, Spain, Latvia, Slovenia, Croatia, Georgia, Bulgaria, Ukraine","1998-04-16, 1994-12-17","No end date","","","","true","OJ L 380, 31/12/1994, p. 24–88
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT), This document has been published in a special edition(s) (
           		FI, SV, CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
