"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","Publication Reference",
"Directive 2012/27/EU of the European Parliament and of the Council of 25 October 2012 on energy efficiency, amending Directives 2009/125/EC and 2010/30/EU and repealing Directives 2004/8/EC and 2006/32/EC  Text with EEA relevance","","32012L0027","2023-05-04","2023-05-04","OJ L 315, 14/11/2012, p. 1–56
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Regulation (EU) No 1227/2011 of the European Parliament and of the Council of 25 October 2011 on wholesale energy market integrity and transparency  Text with EEA relevance","","32011R1227","","","OJ L 326, 08/12/2011, p. 1–16
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Directive 2010/31/EU of the European Parliament and of the Council of 19 May 2010 on the energy performance of buildings (recast)","","32010L0031","2021-01-01","2021-01-01","OJ L 153, 18/06/2010, p. 13–35
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Directive 2009/126/EC of the European Parliament and of the Council of 21 October 2009 on Stage II petrol vapour recovery during refuelling of motor vehicles at service stations","","32009L0126","2019-07-26","2019-07-26","OJ L 285, 31/10/2009, p. 36–39
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Directive 2009/125/EC of the European Parliament and of the Council of 21 October 2009 establishing a framework for the setting of ecodesign requirements for energy-related products (recast) (Text with EEA relevance)","","32009L0125","2012-12-04","2012-12-04","OJ L 285, 31/10/2009, p. 10–35
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Regulation (EC) No 715/2009 of the European Parliament and of the Council of 13 July 2009 on conditions for access to the natural gas transmission networks and repealing Regulation (EC) No 1775/2005 (Text with EEA relevance)","","32009R0715","2022-07-01","2022-07-01","OJ L 211, 14/08/2009, p. 36–54
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Regulation (EC) No 663/2009 of the European Parliament and of the Council of 13 July 2009 establishing a programme to aid economic recovery by granting Community financial assistance to projects in the field of energy","","32009R0663","2018-12-24","2018-12-24","OJ L 200, 31/07/2009, p. 31–45
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		","Regulation (EC) No 1099/2008 of the European Parliament and of the Council of 22 October 2008 on energy statistics (Text with EEA relevance)","","32008R1099","2022-02-20","2022-02-20","OJ L 304, 14/11/2008, p. 1–62
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Directive 2000/84/EC of the European Parliament and of the Council of 19 January 2001 on summer-time arrangements","","32000L0084","","","OJ L 31, 02/02/2001, p. 21–22
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"European Parliament and Council Directive 94/63/EC of 20 December 1994 on the control of volatile organic compound (VOC) emissions resulting from the storage of petrol and its distribution from terminals to service stations","","31994L0063","2019-07-26","2019-07-26","OJ L 365, 31/12/1994, p. 24–33
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT), This document has been published in a special edition(s) (
           		FI, SV, CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Directive 94/22/EC of the European Parliament and of the Council of 30 May 1994 on the conditions for granting and using authorizations for the prospection, exploration and production of hydrocarbons","","31994L0022","2018-12-24","2018-12-24","OJ L 164, 30/06/1994, p. 3–8
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT), This document has been published in a special edition(s) (
           		FI, SV, CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Commission Implementing Decision (EU) 2023/2199 of 17 October 2023 granting derogations to certain Member States as regards the provision of statistics pursuant to Regulation (EC) No 1099/2008 of the European Parliament and of the Council on energy statistics (notified under document C(2023)6856)","C/2023/6856","32023D2199","","","OJ L, 2023/2199,  19.10.2023, ELI: http://data.europa.eu/eli/dec_impl/2023/2199/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2023/1978 of 21 September 2023 on the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to the award of contracts for the activities related to the generation and wholesale of electricity from renewable sources in Germany, with the exception of electricity from renewable sources generated in installations that went into operation before 1 August 2014 and still receive public funding and activities related to the generation and wholesale of electricity from offshore wind farms commissioned after 1 January 2012 and subject to the 2012 Renewable Energy Sources Act (Erneuerbare-Energien-Gesetz) in Germany (notified under document C(2023) 6271) (Only the German text is authentic) (Text with EEA relevance)","C/2023/6271","32023D1978","","","OJ L 235, 25/09/2023, p. 13–22
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2023/1760 of 11 September 2023 on the recognition of the report including information on the typical greenhouse gas emissions from the cultivation of canola oilseed (rapeseed) in Australia under Article 31(3) and (4) of Directive (EU) 2018/2001 of the European Parliament and of the Council","C/2023/6012","32023D1760","","","OJ L 224, 12/09/2023, p. 105–107
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2023/1669 of 16 June 2023 supplementing Regulation (EU) 2017/1369 of the European Parliament and of the Council with regard to the energy labelling of smartphones and slate tablets (Text with EEA relevance)","C/2023/1672","32023R1669","","","OJ L 214, 31/08/2023, p. 9–46
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2023/1670 of 16 June 2023 laying down ecodesign requirements for smartphones, mobile phones other than smartphones, cordless phones and slate tablets pursuant to Directive 2009/125/EC of the European Parliament and of the Council and amending Commission Regulation (EU) 2023/826 (Text with EEA relevance)","C/2023/3538","32023R1670","","","OJ L 214, 31/08/2023, p. 47–93
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2023/1640 of 5 June 2023 on the methodology to determine the share of biofuel and biogas for transport, produced from biomass being processed with fossil fuels in a common process","C/2023/3513","32023R1640","","","OJ L 205, 18/08/2023, p. 1–6
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)","Commission Delegated Regulation (EU) 2023/1184 of 10 February 2023 supplementing Directive (EU) 2018/2001 of the European Parliament and of the Council by establishing a Union methodology setting out detailed rules for the production of renewable liquid and gaseous transport fuels of non-biological origin","C/2023/1087","32023R1184","","","OJ L 157, 20/06/2023, p. 11–19
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2023/1162 of 6 June 2023 on interoperability requirements and non-discriminatory and transparent procedures for access to metering and consumption data (Text with EEA relevance)","C/2023/3477","32023R1162","","","OJ L 154, 15/06/2023, p. 10–40
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Decision (Euratom) 2023/1112 of 17 July 2020 on the notification of changes to the Euratom delineated peaceful nuclear programme in Annex A to the Agreement for cooperation in the peaceful uses of nuclear energy between the European Atomic Energy Community and the United States of America","C/2020/4674","32023D1112","","","OJ L 147, 07/06/2023, p. 156–157
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2023/826 of 17 April 2023 laying down ecodesign requirements for off mode, standby mode, and networked standby energy consumption of electrical and electronic household and office equipment pursuant to Directive 2009/125/EC of the European Parliament and of the Council and repealing Commission Regulations (EC) No 1275/2008 and (EC) No 107/2009 (Text with EEA relevance)","C/2023/2448","32023R0826","","","OJ L 103, 18/04/2023, p. 29–47
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2023/736 of 31 March 2023 on the definition of the technical details of the application of the market correction mechanism to derivatives linked to virtual trading points in the Union other than the TTF","C/2023/2194","32023R0736","","","OJ L 96, 05/04/2023, p. 4–8
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Decision of 13 January 2023 establishing the ad hoc Steering Board to facilitate the coordination of demand aggregation and joint purchasing of gas 2023/C 48/05","C/2023/407","32023D0208(02)","","","OJ C 48, 08/02/2023, p. 6–10
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (Euratom) 2023/225 of 30 January 2023 on the extension of the joint-undertaking status of Hochtemperatur-Kernkraftwerk GmbH","ST/5101/2023/INIT","32023D0225","","","OJ L 32, 03/02/2023, p. 51–52
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (Euratom) 2023/226 of 30 January 2023 on the extension of the advantages conferred on the joint undertaking Hochtemperatur-Kernkraftwerk GmbH","ST/5102/2023/INIT","32023D0226","","","OJ L 32, 03/02/2023, p. 53–55
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Regulation (EU) 2022/2576 of 19 December 2022 enhancing solidarity through better coordination of gas purchases, reliable price benchmarks and exchanges of gas across borders","ST/14065/2022/INIT","32022R2576","","","OJ L 335, 29/12/2022, p. 1–35
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Regulation (EU) 2022/2577 of 22 December 2022 laying down a framework to accelerate the deployment of renewable energy","ST/14787/2022/INIT","32022R2577","","","OJ L 335, 29/12/2022, p. 36–44
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)","Council Regulation (EU) 2022/2578 of 22 December 2022 establishing a market correction mechanism to protect Union citizens and the economy against excessively high prices","ST/15202/2022/INIT","32022R2578","","","OJ L 335, 29/12/2022, p. 45–60
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/2461 of 14 December 2022 recognising the ‘KZR INiG’ scheme for demonstrating compliance with the requirements set out in Directive (EU) 2018/2001 of the European Parliament and of the Council as regards biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels and repealing Commission Implementing Decision (EU) 2022/603 (Text with EEA relevance)","C/2022/9178","32022D2461","","","OJ L 321, 15/12/2022, p. 38–41
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2022/2299 of 15 November 2022 laying down rules for the application of Regulation (EU) 2018/1999 of the European Parliament and of the Council as regards the structure, format, technical details and process for the integrated national energy and climate progress reports","C/2022/8251","32022R2299","","","OJ L 306, 25/11/2022, p. 1–98
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2022/2301 of 23 November 2022 setting the filling trajectory with intermediary targets for 2023 for each Member State with underground gas storage facilities on its territory and directly interconnected to its market area (Text with EEA relevance)","C/2022/8593","32022R2301","","","OJ L 305, 25/11/2022, p. 5–8
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2022/2202 of 29 August 2022 supplementing Regulation (EU) 2021/1153 of the European Parliament and of the Council by establishing a list of selected cross-border projects in the field of renewable energy (Text with EEA relevance)","C/2022/6028","32022R2202","","","OJ L 293, 14/11/2022, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Regulation (EU) 2022/1854 of 6 October 2022 on an emergency intervention to address high energy prices","ST/12521/2022/INIT","32022R1854","","","OJ L 261I , 07/10/2022, p. 1–21
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (EU) 2022/1842 of 20 September 2022 on the position to be taken on behalf of the European Union within the Ministerial Council of the Energy Community with regard to the incorporation of Regulation (EU) 2022/1032 of the European Parliament and of the Council on gas storage into the Energy Community acquis","ST/12060/2022/INIT","32022D1842","","","OJ L 254, 03/10/2022, p. 43–55
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/1655 of 26 September 2022 recognising the report including information on the typical greenhouse gas emissions from the cultivation of soybean in Argentina under Article 31(3) and (4) of Directive (EU) 2018/2001 of the European Parliament and of the Council","C/2022/6762","32022D1655","","","OJ L 249, 27/09/2022, p. 47–49
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/1657 of 26 September 2022 on the recognition of the Sustainable Biomass Program voluntary scheme for demonstrating compliance with the requirements of Directive (EU) 2018/2001 of the European Parliament and of the Council for biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels (Text with EEA relevance)","C/2022/6713","32022D1657","","","OJ L 249, 27/09/2022, p. 53–55
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/1656 of 26 September 2022 on recognition of the Austrian agricultural certification scheme (AACS) for demonstrating compliance with the requirements set in Directive (EU) 2018/2001 of the European Parliament and of the Council for biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels (Text with EEA relevance)","C/2022/6712","32022D1656","","","OJ L 249, 27/09/2022, p. 50–52
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)","Council Regulation (EU) 2022/1369 of 5 August 2022 on coordinated demand-reduction measures for gas","ST/11568/2022/INIT","32022R1369","2023-04-01","2023-04-01","OJ L 206, 08/08/2022, p. 1–10
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/1376 of 26 July 2022 on the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to electricity generation and wholesale in Denmark (notified under document C(2022) 5046) (Only the Danish text is authentic) (Text with EEA relevance)","C/2022/5046","32022D1376","","","OJ L 206, 08/08/2022, p. 42–50
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/1296 of 1 July 2022 on the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to the award of contracts to pursue the extraction of crude oil and natural gas in Romania (notified under document C(2022) 4485) (Only the Romanian text is the authentic) (Text with EEA relevance)","C/2022/4485","32022D1296","","","OJ L 196, 25/07/2022, p. 126–133
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/1286 of 15 July 2022 on the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to the award of contracts to pursue the retail supply of electricity and gas to small customers in the Netherlands (notified under document C(2022) 4872) (Only the Dutch text is authentic) (Text with EEA relevance)","C/2022/4872","32022D1286","","","OJ L 195, 22/07/2022, p. 95–103
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2022/996 of 14 June 2022 on rules to verify sustainability and greenhouse gas emissions saving criteria and low indirect land-use change-risk criteria (Text with EEA relevance)","C/2022/3740","32022R0996","","","OJ L 168, 27/06/2022, p. 1–62
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/606 of 8 April 2022 on the recognition of the “Round Table on Responsible Soy with EU RED Requirements (RTRS EU RED)” voluntary scheme for demonstrating compliance with the requirements set in Directive (EU) 2018/2001 of the European Parliament and of the Council for biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels (Text with EEA relevance)","C/2022/2123","32022D0606","","","OJ L 114, 12/04/2022, p. 194–196
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/599 of 8 April 2022 on the recognition of the Biomass Biofuels Sustainability voluntary scheme (2BSvs) for demonstrating compliance with the requirements set in Directive (EU) 2018/2001 of the European Parliament and of the Council for biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels (Text with EEA relevance)","C/2022/2132","32022D0599","","","OJ L 114, 12/04/2022, p. 173–175
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/602 of 8 April 2022 on the recognition of the ‘International Sustainability & Carbon Certification – ISCC EU’ voluntary scheme for demonstrating compliance with the requirements set in Directive (EU) 2018/2001 of the European Parliament and of the Council for biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels (Text with EEA relevance)","C/2022/2117","32022D0602","","","OJ L 114, 12/04/2022, p. 182–184
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/600 of 8 April 2022 on the recognition of the ‘Bonsucro EU’ voluntary scheme for demonstrating compliance with the requirements set in Directive (EU) 2018/2001 of the European Parliament and of the Council for biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels (Text with EEA relevance)","C/2022/2111","32022D0600","","","OJ L 114, 12/04/2022, p. 176–178
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/605 of 8 April 2022 on the recognition of the ‘REDcert-EU’ voluntary scheme for demonstrating compliance with the requirements set in Directive (EU) 2018/2001 of the European Parliament and of the Council for biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels (Text with EEA relevance)","C/2022/2122","32022D0605","","","OJ L 114, 12/04/2022, p. 191–193
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)","Commission Implementing Decision (EU) 2022/611 of 8 April 2022 on the recognition of the ‘Universal Feed Assurance Scheme (UFAS)’ for demonstrating compliance with the requirements set in Directive (EU) 2018/2001 of the European Parliament and of the Council for biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels (Text with EEA relevance)","C/2022/2114","32022D0611","","","OJ L 114, 12/04/2022, p. 209–211
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
